account_id,customer_id,account_type,balance,credit_limit,interest_rate,account_status,open_date,last_activity_date,branch_id
ACC00000101,CUST000001,Credit Card,-666,9570.0,0.2001,Active,2016-09-06,2025-03-31,BR117
ACC00000102,CUST000001,Checking,22600,,0.0,Active,2016-08-29,2024-11-08,BR117
ACC00000201,CUST000002,CD,15311,,0.0238,Active,2017-05-20,2024-11-16,BR078
ACC00000202,CUST000002,Credit Card,-1812,36541.0,0.2299,Active,2017-05-27,2025-08-08,BR078
ACC00000301,CUST000003,CD,3725,,0.0136,Active,2023-03-07,2025-02-25,BR012
ACC00000302,CUST000003,Credit Card,-968,30167.0,0.1773,Active,2023-03-17,2025-06-30,BR012
ACC00000401,CUST000004,Money Market,56499,,0.0117,Active,2016-11-18,2025-04-23,BR009
ACC00000402,CUST000004,CD,76599,,0.0228,Frozen,2016-10-29,2025-01-26,BR009
ACC00000501,CUST000005,Credit Card,-809,11337.0,0.2247,Active,2023-04-30,2025-07-19,BR018
ACC00000502,CUST000005,Savings,8855,,0.0118,Active,2023-05-26,2024-10-09,BR018
ACC00000503,CUST000005,Credit Card,-9694,45110.0,0.189,Active,2023-05-11,2024-11-07,BR018
ACC00000601,CUST000006,Credit Card,-2709,18381.0,0.243,Active,2022-01-01,2024-10-17,BR067
ACC00000602,CUST000006,Savings,12741,,0.02,Active,2022-01-04,2024-09-14,BR067
ACC00000603,CUST000006,Credit Card,-1448,8346.0,0.1687,Active,2021-12-26,2025-01-31,BR067
ACC00000701,CUST000007,Money Market,3285,,0.0113,Active,2022-12-20,2025-05-18,BR003
ACC00000702,CUST000007,Credit Card,-130,1334.0,0.2021,Active,2022-12-14,2024-12-02,BR003
ACC00000703,CUST000007,Savings,2804,,0.0447,Inactive,2022-12-26,2025-02-12,BR003
ACC00000801,CUST000008,Credit Card,-3127,28994.0,0.1501,Active,2025-07-18,2025-04-30,BR026
ACC00000802,CUST000008,Credit Card,-434,32256.0,0.1902,Active,2025-07-23,2024-12-03,BR026
