branch_id,branch_name,address,city,state,zip_code,region,branch_type,open_date,manager_name,phone,total_deposits,total_loans,employee_count
BR001,Josephchester Branch,19524 Chad Square,Garciamouth,NH,28958,Southwest,Limited Service,2020-06-24,Shannon Clark,001-909-613-9460x165,85700045,46033947,10
BR002,Lake Nathanmouth Branch,2358 Murphy Shores,Lake Emma,MO,71750,Northeast,Limited Service,2024-07-16,Cheryl Hopkins,7355324760,37529993,16208579,11
BR003,Jeffreyview Branch,293 Rodgers Causeway Apt. 487,Heatherchester,AR,41898,Midwest,ATM Only,2024-01-23,Maria Simmons,(807)245-6526,77503934,13010142,8
BR004,East Billport Branch,4483 Brian Junction,South Rachelstad,NJ,03811,Northeast,Full Service,2010-09-30,Douglas Duncan,+1-333-552-6823x9906,60253766,23268389,16
BR005,Parkston Branch,9742 John Pines Suite 296,South Loritown,MN,73933,Southeast,Limited Service,2015-12-28,Megan Copeland,001-969-745-3374x82602,55462514,15299326,9
BR006,Hillville Branch,5483 Michael Corner,Moralesfort,NM,37431,Southwest,Limited Service,2012-12-31,Kendra Holland,+1-980-927-1991x5193,95120141,15033179,20
BR007,Port Steven Branch,851 Charles Corners,Powellchester,FM,28543,Southwest,Full Service,2023-06-02,Stephen Smith,+1-594-346-1135,70641729,5724387,4
BR008,East Joshuastad Branch,31631 Garrison Radial,South Melissa,FM,19270,Southeast,Full Service,2018-10-17,Allen Evans,001-971-254-5176x0102,31274250,36664919,11
BR009,Diazborough Branch,332 Shannon Isle,Feliciachester,TX,82700,West,ATM Only,2022-02-23,Dean Austin,001-311-876-3222x4688,32086198,18026260,5
BR010,Lake Wanda Branch,5189 Heather Ford,Maryton,NH,71950,Northeast,Limited Service,2018-06-25,Gabriella Hoffman,001-625-397-8473x134,82994519,29644618,13
BR011,Ruizton Branch,1404 Pitts Row Apt. 461,Garyview,ID,51022,Midwest,ATM Only,2018-11-30,Marc Hall,001-533-491-5201x3712,13490358,34568945,21
BR012,Ethanbury Branch,15236 Smith Courts Apt. 491,South Susantown,ND,55178,Southeast,ATM Only,2021-07-08,Allison Martin,258.397.7361,22190892,18160082,23
BR013,Port Jessica Branch,8390 Connor Lakes,South Noahchester,KS,11972,Northeast,Limited Service,2006-11-19,Stephen Nunez,+1-583-492-2798x5486,44990601,46516781,14
BR014,Foxfurt Branch,11517 Roberto Fork,Lake Keithview,KY,32516,West,Full Service,2023-03-17,Nathan Scott,291-668-0267,53873645,8196810,8
BR015,Seanshire Branch,167 Cline Prairie Suite 363,Thomasview,OR,27335,Southeast,ATM Only,2010-03-14,Eric Gillespie,001-548-306-7141x31719,94001963,41241662,23
BR016,New Jason Branch,8160 Heather Road,South Jessicachester,FL,79155,Southeast,ATM Only,2008-09-03,Jamie Morrison,962.424.6772x706,54448581,32427194,3
BR017,Saraberg Branch,344 Torres Divide,West Stevenshire,DE,40585,Midwest,ATM Only,2007-11-06,Victoria Carroll,+1-593-919-7048x8038,20004179,45524792,24
BR018,North Angela Branch,1639 Velez Stravenue,East Jennifer,WV,15350,Midwest,Full Service,2016-02-27,James Wood,(266)924-9599x119,35597193,30969066,17
BR019,Averyborough Branch,4566 Allen Crossing,East Mariomouth,MO,13131,Northeast,Full Service,2018-02-14,Victoria Torres,+1-873-281-4178x580,98445371,23130002,10
BR020,Kyleland Branch,99884 Brown Mews,Bethport,RI,27880,Midwest,Limited Service,2006-04-20,Ruben Greene,343.973.0819x32541,89691534,32136649,24
BR021,North Donnaton Branch,7829 Christian Centers Apt. 520,Adamville,IA,02684,West,Limited Service,2008-01-26,Jennifer Gallegos,001-371-490-8843x935,65849366,7375171,14
BR022,Port Mandy Branch,8582 Bruce Underpass Apt. 611,Michaelstad,OH,88913,West,ATM Only,2023-05-21,Michael Adams,(483)709-1904x18506,43369886,27908242,7
