loan_id,customer_id,loan_type,original_amount,current_balance,interest_rate,term_months,monthly_payment,origination_date,maturity_date,loan_status,payment_history_score,collateral_value,ltv_ratio,purpose,branch_id
LOAN00208601,CUST002086,Auto,54096,18991.184171769444,0.339,72,1765.81,2020-10-24,2026-09-23,Active,54.8,64915.2,0.8,Refinance,BR016
LOAN00208602,CUST002086,Personal,47739,0.0,0.404,24,2931.36,2021-05-06,2023-04-26,Paid Off,54.8,,,Refinance,BR016
LOAN00346601,CUST003466,Business,489622,458961.9963316867,0.381,120,15919.6,2022-04-17,2032-02-24,Active,52.8,,,Investment,BR078
LOAN00067701,CUST000677,Auto,69104,35836.5050931345,0.322,72,2177.92,2021-06-30,2027-05-30,Active,56.8,82924.8,0.8,Refinance,BR013
LOAN00228901,CUST002289,Mortgage,680846,678853.8322740457,0.225,240,12915.44,2024-08-18,2044-05-05,Active,65.9,817015.2,0.8,Investment,BR108
LOAN00228902,CUST002289,Credit Line,17951,8062.165172501412,0.34,36,801.9,2023-09-09,2026-08-24,Late,65.9,,,Refinance,BR108
LOAN00228903,CUST002289,Auto,76303,47068.367506341645,0.245,36,3013.65,2024-04-07,2027-03-23,Active,65.9,91563.59999999999,0.8,Investment,BR108
LOAN00184401,CUST001844,Business,258967,237321.53956336062,0.167,120,4451.68,2023-11-07,2033-09-15,Active,78.0,,,Refinance,BR039
LOAN00494101,CUST004941,Auto,34467,1053.6368110340595,0.067,36,1059.52,2022-09-22,2025-09-06,Active,86.8,41360.4,0.8,Purchase,BR031
LOAN00494102,CUST004941,Auto,59826,0.0,0.067,48,1424.3,2021-01-27,2025-01-06,Paid Off,86.8,71791.2,0.8,Refinance,BR031
LOAN00494103,CUST004941,Personal,19243,1908.5429339894172,0.132,36,650.23,2022-11-29,2025-11-13,Active,86.8,,,Purchase,BR031
LOAN00404001,CUST004040,Business,254440,221695.568368804,0.284,120,6408.78,2021-09-29,2031-08-08,Active,64.2,,,Investment,BR047
LOAN00297701,CUST002977,Student,75662,50036.13543155561,0.01,120,662.83,2022-02-23,2032-01-02,Active,98.7,,,Consolidation,BR066
LOAN00365201,CUST003652,Business,261815,253028.78043080986,0.098,180,2781.53,2024-07-15,2039-04-28,Active,86.1,,,Refinance,BR057
LOAN00365202,CUST003652,Credit Line,43427,16112.14003047403,0.168,24,2142.96,2024-04-30,2026-04-20,Active,86.1,,,Consolidation,BR057
LOAN00337001,CUST003370,Business,331963,278388.0150898528,0.161,120,5581.52,2022-07-28,2032-06-05,Active,78.7,,,Purchase,BR067
LOAN00262101,CUST002621,Auto,29928,0.0,0.05,48,689.22,2021-05-23,2025-05-02,Paid Off,88.8,35913.6,0.8,Purchase,BR005
LOAN00441001,CUST004410,Personal,29070,12741.704913182935,0.089,24,1326.72,2024-07-03,2026-06-23,Active,91.9,,,Purchase,BR104
LOAN00441002,CUST004410,Mortgage,410074,356843.56391437445,0.01,240,1885.91,2022-11-14,2042-08-01,Active,91.9,492088.8,0.8,Consolidation,BR104
LOAN00101901,CUST001019,Business,253699,165856.32606497325,0.229,60,7137.33,2023-04-05,2028-03-09,Active,70.7,,,Investment,BR012
LOAN00266801,CUST002668,Auto,45476,33826.60695430203,0.34,72,1487.46,2022-10-04,2028-09-02,Active,54.7,54571.2,0.8,Refinance,BR103
LOAN00266802,CUST002668,Auto,74376,59500.8,0.34,36,3322.52,2023-08-25,2026-08-09,Default,54.7,89251.2,0.8,Refinance,BR103
LOAN00266803,CUST002668,Student,60068,59373.45368941223,0.33,180,1664.48,2022-10-25,2037-08-07,Active,54.7,,,Purchase,BR103
LOAN00068201,CUST000682,Auto,43302,34641.6,0.325,60,1468.18,2022-07-27,2027-07-01,Default,56.5,51962.4,0.8,Consolidation,BR001
LOAN00068202,CUST000682,Business,332847,287364.40724303166,0.35,60,11812.84,2024-03-25,2029-02-27,Active,56.5,,,Consolidation,BR001
LOAN00214501,CUST002145,Student,95740,85284.04286355263,0.179,120,1718.93,2023-03-19,2033-01-25,Active,72.5,,,Consolidation,BR091
LOAN00214502,CUST002145,Business,250020,246224.1366706672,0.214,180,4651.81,2024-03-16,2038-12-28,Active,72.5,,,Investment,BR091
LOAN00167101,CUST001671,Mortgage,141230,139289.50649501206,0.171,300,2041.8,2021-10-08,2046-05-30,Active,72.2,169476.0,0.8,Purchase,BR028
LOAN00167102,CUST001671,Business,84050,75073.25370088677,0.216,120,1714.45,2022-11-25,2032-10-03,Active,72.2,,,Investment,BR028
LOAN00167103,CUST001671,Auto,48585,16968.20263625332,0.191,48,1455.26,2022-09-27,2026-09-06,Active,72.2,58302.0,0.8,Investment,BR028
LOAN00470501,CUST004705,Student,51988,39921.65118864989,0.059,180,435.9,2020-11-12,2035-08-26,Active,86.6,,,Consolidation,BR006
LOAN00426401,CUST004264,Business,416615,175984.93083629038,0.224,60,11601.4,2022-03-02,2027-02-04,Active,71.3,,,Consolidation,BR180
LOAN00426402,CUST004264,Auto,49584,0.0,0.199,36,1840.19,2022-05-07,2025-04-21,Paid Off,71.3,59500.799999999996,0.8,Investment,BR180
LOAN00295801,CUST002958,Auto,76287,0.0,0.191,60,1983.13,2020-09-24,2025-08-29,Paid Off,72.2,91544.4,0.8,Purchase,BR063
LOAN00336901,CUST003369,Credit Line,49719,0.0,0.19,48,1486.6,2021-04-12,2025-03-22,Paid Off,83.5,,,Refinance,BR059
LOAN00113401,CUST001134,Business,350661,290332.5437855001,0.112,60,7659.24,2024-08-05,2029-07-10,Active,84.5,,,Consolidation,BR012
LOAN00113402,CUST001134,Auto,60951,41599.849425283246,0.087,60,1256.39,2023-10-31,2028-10-04,Active,84.5,73141.2,0.8,Purchase,BR012
LOAN00113403,CUST001134,Credit Line,11731,0.0,0.182,36,425.28,2020-11-15,2023-10-31,Paid Off,84.5,,,Refinance,BR012
LOAN00252201,CUST002522,Auto,78409,0.0,0.01,36,2211.77,2020-10-31,2023-10-16,Paid Off,100.0,94090.8,0.8,Investment,BR001
LOAN00373601,CUST003736,Student,58727,56679.745800053905,0.164,180,878.96,2023-09-26,2038-07-09,Active,74.2,,,Investment,BR026
LOAN00190901,CUST001909,Auto,39593,0.0,0.335,48,1507.3,2021-06-25,2025-06-04,Paid Off,55.3,47511.6,0.8,Refinance,BR078
LOAN00190902,CUST001909,Mortgage,2650787,2615129.8532609786,0.315,180,70245.45,2022-11-09,2037-08-22,Active,55.3,3180944.4,0.8,Investment,BR078
LOAN00031801,CUST000318,Student,45768,44848.23617167424,0.192,240,748.88,2022-05-14,2042-01-29,Active,70.9,,,Purchase,BR126
LOAN00206701,CUST002067,Mortgage,206540,165232.0,0.485,360,8347.66,2023-01-17,2052-08-12,Default,35.3,247848.0,0.8,Purchase,BR126
LOAN00000201,CUST000002,Credit Line,40605,2402.9279219432183,0.271,60,1242.32,2020-11-01,2025-10-06,Active,74.0,,,Investment,BR078
LOAN00487301,CUST004873,Personal,21565,10151.197868036319,0.407,24,1327.68,2024-06-08,2026-05-29,Late,54.5,,,Purchase,BR075
LOAN00487302,CUST004873,Mortgage,173482,173465.2398504527,0.322,360,4655.44,2022-12-20,2052-07-15,Active,54.5,208178.4,0.8,Investment,BR075
LOAN00304601,CUST003046,Personal,37830,30887.54156775693,0.528,48,1905.76,2024-01-30,2028-01-09,Active,40.2,,,Investment,BR016
LOAN00283701,CUST002837,Auto,75498,59109.78165313907,0.01,72,1080.79,2024-05-02,2030-04-01,Active,100.0,90597.59999999999,0.8,Refinance,BR091
LOAN00108401,CUST001084,Auto,33102,19430.031436619305,0.01,36,933.74,2024-05-24,2027-05-09,Active,100.0,39722.4,0.8,Refinance,BR025
LOAN00108402,CUST001084,Auto,26889,1141.9709134354628,0.01,48,571.7,2021-11-13,2025-10-23,Active,100.0,32266.8,0.8,Purchase,BR025
LOAN00026901,CUST000269,Mortgage,87104,85180.20369129394,0.202,240,1493.43,2021-09-28,2041-06-15,Active,68.6,104524.8,0.8,Refinance,BR017
LOAN00026902,CUST000269,Business,317336,26670.12824910853,0.247,60,9258.5,2020-12-06,2025-11-10,Active,68.6,,,Consolidation,BR017
LOAN00026903,CUST000269,Student,26900,26675.724831772513,0.212,240,482.45,2023-07-24,2043-04-10,Active,68.6,,,Purchase,BR017
